	WT	WT	WT	"aRFP control"	"aRFP control"	"aRFP control"	ispD	ispD	ispD	ispG	ispG	ispG
9	1.3275	1.3175	1.3935	1.4005	1.2715	1.3425	1.2795	1.2575	1.3005	1.1445	1.2045	1.1905
9.166667	1.3615	1.3435	1.4075	1.4205	1.2875	1.3635	1.2995	1.2705	1.3295	1.1835	1.2185	1.1685
9.333333	1.3685	1.3495	1.4175	1.4335	1.3095	1.3765	1.3095	1.2895	1.3445	1.1805	1.2395	1.2215
9.5	1.384	1.371	1.434	1.448	1.323	1.393	1.328	1.313	1.36	1.204	1.263	1.226
9.666667	1.39375	1.38775	1.44775	1.46075	1.32375	1.40875	1.34375	1.32775	1.38575	1.21775	1.28575	1.23875
9.833333	1.415	1.404	1.461	1.479	1.368	1.425	1.364	1.342	1.402	1.242	1.295	1.251
10	1.4355	1.4115	1.4685	1.4885	1.3775	1.4355	1.3795	1.3585	1.4185	1.2555	1.3085	1.2845
10.16667	1.4475	1.4275	1.4805	1.4985	1.3725	1.4585	1.3965	1.3745	1.4325	1.2655	1.3375	1.3025
10.33333	1.464	1.439	1.497	1.507	1.387	1.481	1.408	1.381	1.451	1.279	1.347	1.322
10.5	1.47175	1.44875	1.49775	1.51775	1.40275	1.48375	1.42275	1.39675	1.46675	1.29775	1.36175	1.33575
10.66667	1.47975	1.45775	1.50775	1.52475	1.41575	1.49275	1.43475	1.40675	1.47975	1.31075	1.37975	1.34275
10.83333	1.4845	1.4685	1.5195	1.5355	1.4305	1.5025	1.4445	1.4245	1.4925	1.3265	1.3875	1.3635
11	1.49475	1.47875	1.52575	1.54475	1.44175	1.50975	1.45875	1.44175	1.49975	1.33775	1.40075	1.37475
11.16667	1.50575	1.49075	1.53275	1.55375	1.45775	1.51675	1.47075	1.45675	1.50475	1.35075	1.41075	1.38475
11.33333	1.51475	1.49775	1.53875	1.56175	1.46975	1.52975	1.48175	1.46475	1.51975	1.37175	1.42375	1.39675
11.5	1.5245	1.5055	1.5605	1.5675	1.4795	1.5375	1.4945	1.4655	1.5235	1.3835	1.4375	1.4135
11.66667	1.534	1.517	1.566	1.57	1.489	1.545	1.5	1.478	1.536	1.4	1.441	1.414
11.83333	1.54475	1.52475	1.56775	1.58175	1.50175	1.55875	1.51175	1.50975	1.54875	1.41075	1.45475	1.43275
12	1.55175	1.53175	1.57675	1.58575	1.50875	1.56875	1.51975	1.51575	1.55775	1.41975	1.46975	1.44475
12.16667	1.56375	1.53975	1.58175	1.59775	1.51775	1.57975	1.52575	1.52775	1.56175	1.43375	1.47775	1.45475
12.33333	1.56175	1.54875	1.59375	1.59875	1.52275	1.58275	1.52675	1.52775	1.57175	1.43775	1.49075	1.46575
12.5	1.5705	1.5535	1.5975	1.6055	1.5305	1.5885	1.5285	1.5375	1.5745	1.4545	1.4985	1.4685
12.66667	1.581	1.56	1.601	1.611	1.541	1.596	1.536	1.546	1.585	1.467	1.52	1.475
12.83333	1.587	1.567	1.603	1.624	1.552	1.599	1.542	1.557	1.593	1.483	1.514	1.486
13	1.58975	1.57375	1.61075	1.62175	1.55675	1.60275	1.54175	1.56075	1.60275	1.48875	1.52775	1.49175
13.16667	1.59175	1.57875	1.61275	1.62575	1.56275	1.60675	1.54675	1.56775	1.60875	1.50275	1.52075	1.50275
13.33333	1.59375	1.58575	1.61675	1.62075	1.57675	1.60875	1.54975	1.57375	1.61475	1.51175	1.54975	1.50775
13.5	1.5985	1.5925	1.6225	1.6225	1.5845	1.6145	1.5545	1.5785	1.6275	1.5195	1.5465	1.5185
13.66667	1.60775	1.59575	1.62675	1.62575	1.59075	1.61175	1.55775	1.58375	1.63475	1.52875	1.55175	1.52575
13.83333	1.6065	1.6015	1.6295	1.6315	1.5965	1.6095	1.5635	1.5935	1.6275	1.5435	1.5545	1.5375
14	1.60775	1.60675	1.63475	1.62875	1.60475	1.60875	1.56375	1.59575	1.63275	1.54475	1.56375	1.53975
14.16667	1.6115	1.6095	1.6405	1.6325	1.6105	1.6085	1.5715	1.6025	1.6365	1.5565	1.5695	1.5355
14.33333	1.6175	1.6155	1.6355	1.6405	1.6115	1.6055	1.5835	1.6115	1.6415	1.5675	1.5725	1.5295
14.5	1.6205	1.6185	1.6385	1.6455	1.6185	1.6005	1.5825	1.6165	1.6425	1.5735	1.5795	1.5475
14.66667	1.62375	1.62075	1.64275	1.63675	1.62875	1.59375	1.58475	1.61875	1.64175	1.58175	1.58575	1.55175
14.83333	1.6225	1.6245	1.6435	1.6325	1.6305	1.5875	1.5865	1.6255	1.6455	1.5865	1.5905	1.5565
