"Hours post Inoculation"	WT	WT	WT	NTC	NTC	NTC	ispD	ispD	ispD
10.0000000000	1.43550	1.41150	1.46850	1.48850	1.37750	1.43550	1.37950	1.35850	1.41850
10.1666666700	1.44750	1.42750	1.48050	1.49850	1.37250	1.45850	1.39650	1.37450	1.43250
10.3333333300	1.46400	1.43900	1.49700	1.50700	1.38700	1.48100	1.40800	1.38100	1.45100
10.5000000000	1.47175	1.44875	1.49775	1.51775	1.40275	1.48375	1.42275	1.39675	1.46675
10.6666666700	1.47975	1.45775	1.50775	1.52475	1.41575	1.49275	1.43475	1.40675	1.47975
10.8333333300	1.48450	1.46850	1.51950	1.53550	1.43050	1.50250	1.44450	1.42450	1.49250
11.0000000000	1.49475	1.47875	1.52575	1.54475	1.44175	1.50975	1.45875	1.44175	1.49975
11.1666666700	1.50575	1.49075	1.53275	1.55375	1.45775	1.51675	1.47075	1.45675	1.50475
11.3333333300	1.51475	1.49775	1.53875	1.56175	1.46975	1.52975	1.48175	1.46475	1.51975
11.5000000000	1.52450	1.50550	1.56050	1.56750	1.47950	1.53750	1.49450	1.46550	1.52350
11.6666666700	1.53400	1.51700	1.56600	1.57000	1.48900	1.54500	1.50000	1.47800	1.53600
11.8333333300	1.54475	1.52475	1.56775	1.58175	1.50175	1.55875	1.51175	1.50975	1.54875
12.0000000000	1.55175	1.53175	1.57675	1.58575	1.50875	1.56875	1.51975	1.51575	1.55775
12.1666666700	1.56375	1.53975	1.58175	1.59775	1.51775	1.57975	1.52575	1.52775	1.56175
12.3333333300	1.56175	1.54875	1.59375	1.59875	1.52275	1.58275	1.52675	1.52775	1.57175
12.5000000000	1.57050	1.55350	1.59750	1.60550	1.53050	1.58850	1.52850	1.53750	1.57450
12.6666666700	1.58100	1.56000	1.60100	1.61100	1.54100	1.59600	1.53600	1.54600	1.58500
12.8333333300	1.58700	1.56700	1.60300	1.62400	1.55200	1.59900	1.54200	1.55700	1.59300
13.0000000000	1.58975	1.57375	1.61075	1.62175	1.55675	1.60275	1.54175	1.56075	1.60275
13.1666666700	1.59175	1.57875	1.61275	1.62575	1.56275	1.60675	1.54675	1.56775	1.60875
13.3333333300	1.59375	1.58575	1.61675	1.62075	1.57675	1.60875	1.54975	1.57375	1.61475
13.5000000000	1.59850	1.59250	1.62250	1.62250	1.58450	1.61450	1.55450	1.57850	1.62750
13.6666666700	1.60775	1.59575	1.62675	1.62575	1.59075	1.61175	1.55775	1.58375	1.63475
13.8333333300	1.60650	1.60150	1.62950	1.63150	1.59650	1.60950	1.56350	1.59350	1.62750
14.0000000000	1.60775	1.60675	1.63475	1.62875	1.60475	1.60875	1.56375	1.59575	1.63275
14.1666666700	1.61150	1.60950	1.64050	1.63250	1.61050	1.60850	1.57150	1.60250	1.63650
14.3333333300	1.61750	1.61550	1.63550	1.64050	1.61150	1.60550	1.58350	1.61150	1.64150
14.5000000000	1.62050	1.61850	1.63850	1.64550	1.61850	1.60050	1.58250	1.61650	1.64250
14.6666666700	1.62375	1.62075	1.64275	1.63675	1.62875	1.59375	1.58475	1.61875	1.64175
14.8333333300	1.62250	1.62450	1.64350	1.63250	1.63050	1.58750	1.58650	1.62550	1.64550
15.0000000000	1.62475	1.62475	1.64375	1.63675	1.63475	1.58375	1.58975	1.62775	1.64375
15.1666666700	1.62475	1.62775	1.64275	1.62775	1.63975	1.57775	1.59175	1.63575	1.64875
15.3333333300	1.62150	1.62950	1.64250	1.63650	1.64450	1.56950	1.59450	1.63950	1.65250
15.5000000000	1.62350	1.62850	1.64750	1.61650	1.65150	1.55950	1.59350	1.64550	1.64650
15.6666666700	1.62350	1.62850	1.64350	1.61150	1.65850	1.54650	1.59150	1.64650	1.64650
15.8333333300	1.62075	1.62875	1.64775	1.60575	1.65775	1.53975	1.59575	1.65075	1.64475
16.0000000000	1.62250	1.62650	1.64150	1.60050	1.65950	1.52750	1.59850	1.65250	1.64950
16.1666666700	1.61975	1.62775	1.64175	1.58775	1.66475	1.51775	1.59475	1.65675	1.64375
16.3333333300	1.61475	1.62475	1.64175	1.58075	1.66875	1.50675	1.59175	1.65975	1.64075
16.5000000000	1.61575	1.62075	1.64175	1.57475	1.67075	1.49775	1.59075	1.65775	1.63675
16.6666666700	1.61550	1.61950	1.64050	1.57050	1.66950	1.48950	1.58750	1.65750	1.62850
16.8333333300	1.61650	1.61450	1.63350	1.56450	1.66750	1.48150	1.58850	1.65150	1.63350
17.0000000000	1.60875	1.61575	1.63475	1.54775	1.67275	1.47475	1.58275	1.65475	1.62575
17.1666666700	1.60475	1.61175	1.63075	1.53975	1.67275	1.46575	1.57775	1.65275	1.62075
17.3333333300	1.60150	1.60550	1.62750	1.53150	1.67250	1.45550	1.57450	1.65050	1.61650
17.5000000000	1.59750	1.60350	1.61750	1.52350	1.66750	1.45150	1.57350	1.63950	1.61750
17.6666666700	1.59050	1.59750	1.61650	1.50950	1.67150	1.43950	1.56850	1.63850	1.60950
17.8333333300	1.58750	1.59650	1.61150	1.49750	1.66750	1.43150	1.56450	1.63550	1.60150
18.0000000000	1.58050	1.59250	1.60550	1.48550	1.66350	1.42450	1.56350	1.62650	1.60450
18.1666666700	1.57350	1.58450	1.60250	1.48050	1.65950	1.41450	1.55550	1.62250	1.59350
18.3333333300	1.56950	1.58050	1.60050	1.46750	1.66150	1.40250	1.55050	1.61550	1.58750
18.5000000000	1.56250	1.57550	1.59150	1.46150	1.66050	1.39150	1.54750	1.61250	1.58350
18.6666666700	1.56050	1.57050	1.58650	1.45650	1.65350	1.38550	1.53950	1.61450	1.57250
18.8333333300	1.55550	1.56650	1.58150	1.44150	1.65350	1.38150	1.53350	1.60450	1.57150
19.0000000000	1.55150	1.56250	1.57750	1.43450	1.65050	1.37450	1.53050	1.59750	1.57150
